timestamp,title,price,original_price,shipping,item_url
2025-10-31 18:17:12,Fujifilm XF 16-80mm f/4 R OIS WR Lens,$549.95,$799.00,Shipping info unavailable,https://www.ebay.com/itm/326577238364?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425
2025-10-31 18:17:12,Canon Mount Adapter EF-EOS R for Canon EF/EF-S Lens to EOS R Camera,$119.95,N/A,Shipping info unavailable,https://www.ebay.com/itm/323762011186?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425
2025-10-31 18:17:12,Canon RF 24-70mm f/2.8L IS USM Lens,"$2,099.95","$2,299.00",Shipping info unavailable,https://www.ebay.com/itm/324021848741?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425
2025-10-31 18:17:12,N/A,N/A,N/A,Shipping info unavailable,N/A
2025-10-31 18:17:12,"Bose Ultra Open Earbuds, Certified Refurbished",$149.00,$299.00,Shipping info unavailable,https://www.ebay.com/itm/186628375702?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413
2025-10-31 18:17:12,JBL PartyBox Stage 320 Illuminated LED Wireless Bluetooth Speaker - Black,$375.99,$599.99,Seller pays for return shipping,https://www.ebay.com/itm/157359929835?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413
2025-10-31 18:17:12,Skullcandy CRUSHER ANC XT 2 Wireless Headphones-BLACK (Cert Refurb),$85.99,$199.99,Shipping info unavailable,https://www.ebay.com/itm/375226678774?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413
2025-10-31 18:17:12,eufy SoloCam S340 Outdoor Solar Security Camera 3K Dual-Camera Pan&Tilt 8xZoom,$132.99,$199.99,Seller pays for return shipping,https://www.ebay.com/itm/387549414157?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006413
2025-10-31 18:17:12,N/A,N/A,N/A,Shipping info unavailable,N/A
2025-10-31 18:17:12,Vera Bradley Women's Outlet Ultralight Essential Cord Organizer NWT,$23.70,$59.00,Economy Shipping,https://www.ebay.com/itm/365930191727?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427
2025-10-31 18:17:12,Vera Bradley Women's Outlet Ultralight Laptop Workstation Crossbody Bag NWT,$41.70,$119.00,Economy Shipping,https://www.ebay.com/itm/365930191290?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427
2025-10-31 18:17:12,Vera Bradley Outlet Large Tech Sleeve,$23.70,$59.00,Economy Shipping,https://www.ebay.com/itm/365926632547?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427
2025-10-31 18:17:12,Vera Bradley Outlet Essential Cord Organizer,$19.50,$45.00,Economy Shipping,https://www.ebay.com/itm/365926632765?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006427
2025-10-31 18:17:12,N/A,N/A,N/A,Shipping info unavailable,N/A
2025-10-31 18:17:12,Apple Watch Series 10 46mm GPS + WiFi + Cellular Unlocked Aluminum - Excellent,$284.79,$599.99,Shipping info unavailable,https://www.ebay.com/itm/316169970498?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 18:17:12,Apple iPhone 15 A2846 256GB Unlocked Very Good Condition,$472.99,$949.99,Seller pays for return shipping,https://www.ebay.com/itm/357341402304?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 18:17:12,Apple Watch Ultra 2 49mm Gps + Cellular - Band 64GB - Excellent,$499.00,N/A,Seller pays for return shipping,https://www.ebay.com/itm/167087869217?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 18:17:12,Apple iPhone 15 Pro Max A2849 256GB Unlocked Very Good,$624.99,N/A,Seller pays for return shipping,https://www.ebay.com/itm/356227859677?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006411
2025-10-31 18:17:12,N/A,N/A,N/A,Shipping info unavailable,N/A
2025-10-31 18:17:12,"Refurbished HUION Kamvas 13 (Gen 3) 13.3"" Graphic Tablet Pen Display PenTech4.0",$189.00,N/A,Standard Shipping,https://www.ebay.com/itm/335778622198?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006405
2025-10-31 18:17:12,Huion KAMVAS 22 Graphics Drawing Tablet with Screen OTG Certified Refurbished,$298.90,$449.00,Standard Shipping,https://www.ebay.com/itm/234028480288?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006405
2025-10-31 18:17:12,Refurbished HUION KAMVAS PRO 16 Graphic Drawing Monitor Pen Display+Touch Bar,$234.50,$379.00,Standard Shipping,https://www.ebay.com/itm/336080166779?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006405
